Tanggal,Komoditas,Provinsi,Harga
25/03/2022,Beras Premium,Gorontalo,11230.0
25/03/2022,Beras Premium,Sulawesi Barat,11250.0
25/03/2022,Beras Premium,Sulawesi Selatan,10950.0
25/03/2022,Beras Premium,Sulawesi Tengah,11961.0
25/03/2022,Beras Premium,Sulawesi Tenggara,11787.0
25/03/2022,Beras Premium,Sulawesi Utara,11915.0
26/03/2022,Beras Premium,Gorontalo,11230.0
26/03/2022,Beras Premium,Sulawesi Barat,11250.0
26/03/2022,Beras Premium,Sulawesi Selatan,10948.0
26/03/2022,Beras Premium,Sulawesi Tengah,11961.0
26/03/2022,Beras Premium,Sulawesi Tenggara,11722.0
26/03/2022,Beras Premium,Sulawesi Utara,11915.0
27/03/2022,Beras Premium,Gorontalo,11272.0
27/03/2022,Beras Premium,Sulawesi Barat,11250.0
27/03/2022,Beras Premium,Sulawesi Selatan,10950.0
27/03/2022,Beras Premium,Sulawesi Tengah,11797.0
27/03/2022,Beras Premium,Sulawesi Tenggara,11677.0
27/03/2022,Beras Premium,Sulawesi Utara,11908.0
28/03/2022,Beras Premium,Gorontalo,11272.0
28/03/2022,Beras Premium,Sulawesi Barat,11250.0
28/03/2022,Beras Premium,Sulawesi Selatan,10950.0
28/03/2022,Beras Premium,Sulawesi Tengah,11917.0
28/03/2022,Beras Premium,Sulawesi Tenggara,11677.0
28/03/2022,Beras Premium,Sulawesi Utara,11915.0
29/03/2022,Beras Premium,Gorontalo,11272.0
29/03/2022,Beras Premium,Sulawesi Barat,11250.0
29/03/2022,Beras Premium,Sulawesi Selatan,10905.0
29/03/2022,Beras Premium,Sulawesi Tengah,11857.0
29/03/2022,Beras Premium,Sulawesi Tenggara,11789.0
29/03/2022,Beras Premium,Sulawesi Utara,11915.0
30/03/2022,Beras Premium,Gorontalo,11272.0
30/03/2022,Beras Premium,Sulawesi Barat,11250.0
30/03/2022,Beras Premium,Sulawesi Selatan,10948.0
30/03/2022,Beras Premium,Sulawesi Tengah,11961.0
30/03/2022,Beras Premium,Sulawesi Tenggara,11677.0
30/03/2022,Beras Premium,Sulawesi Utara,11915.0
31/03/2022,Beras Premium,Gorontalo,11272.0
31/03/2022,Beras Premium,Sulawesi Barat,11250.0
31/03/2022,Beras Premium,Sulawesi Selatan,10950.0
31/03/2022,Beras Premium,Sulawesi Tengah,11742.0
31/03/2022,Beras Premium,Sulawesi Tenggara,11677.0
31/03/2022,Beras Premium,Sulawesi Utara,11915.0
01/04/2022,Beras Premium,Gorontalo,11272.0
01/04/2022,Beras Premium,Sulawesi Barat,11250.0
01/04/2022,Beras Premium,Sulawesi Selatan,10950.0
01/04/2022,Beras Premium,Sulawesi Tengah,11961.0
