Tanggal,Komoditas,Provinsi,Harga
25/03/2022,Gula Konsumsi,Gorontalo,14444.0
25/03/2022,Gula Konsumsi,Sulawesi Barat,14583.0
25/03/2022,Gula Konsumsi,Sulawesi Selatan,14375.0
25/03/2022,Gula Konsumsi,Sulawesi Tengah,15083.0
25/03/2022,Gula Konsumsi,Sulawesi Tenggara,14844.0
25/03/2022,Gula Konsumsi,Sulawesi Utara,14733.0
26/03/2022,Gula Konsumsi,Gorontalo,14472.0
26/03/2022,Gula Konsumsi,Sulawesi Barat,14583.0
26/03/2022,Gula Konsumsi,Sulawesi Selatan,14409.0
26/03/2022,Gula Konsumsi,Sulawesi Tengah,15167.0
26/03/2022,Gula Konsumsi,Sulawesi Tenggara,14810.0
26/03/2022,Gula Konsumsi,Sulawesi Utara,15000.0
27/03/2022,Gula Konsumsi,Gorontalo,14500.0
27/03/2022,Gula Konsumsi,Sulawesi Barat,14583.0
27/03/2022,Gula Konsumsi,Sulawesi Selatan,14417.0
27/03/2022,Gula Konsumsi,Sulawesi Tengah,15250.0
27/03/2022,Gula Konsumsi,Sulawesi Tenggara,14822.0
27/03/2022,Gula Konsumsi,Sulawesi Utara,15071.0
28/03/2022,Gula Konsumsi,Gorontalo,14611.0
28/03/2022,Gula Konsumsi,Sulawesi Barat,14583.0
28/03/2022,Gula Konsumsi,Sulawesi Selatan,14417.0
28/03/2022,Gula Konsumsi,Sulawesi Tengah,15273.0
28/03/2022,Gula Konsumsi,Sulawesi Tenggara,14880.0
28/03/2022,Gula Konsumsi,Sulawesi Utara,15067.0
29/03/2022,Gula Konsumsi,Gorontalo,14639.0
29/03/2022,Gula Konsumsi,Sulawesi Barat,14583.0
29/03/2022,Gula Konsumsi,Sulawesi Selatan,14417.0
29/03/2022,Gula Konsumsi,Sulawesi Tengah,15273.0
29/03/2022,Gula Konsumsi,Sulawesi Tenggara,14894.0
29/03/2022,Gula Konsumsi,Sulawesi Utara,15067.0
30/03/2022,Gula Konsumsi,Gorontalo,14693.0
30/03/2022,Gula Konsumsi,Sulawesi Barat,14667.0
30/03/2022,Gula Konsumsi,Sulawesi Selatan,14283.0
30/03/2022,Gula Konsumsi,Sulawesi Tengah,15364.0
30/03/2022,Gula Konsumsi,Sulawesi Tenggara,14941.0
30/03/2022,Gula Konsumsi,Sulawesi Utara,15111.0
31/03/2022,Gula Konsumsi,Gorontalo,14806.0
31/03/2022,Gula Konsumsi,Sulawesi Barat,14583.0
31/03/2022,Gula Konsumsi,Sulawesi Selatan,14458.0
31/03/2022,Gula Konsumsi,Sulawesi Tengah,15250.0
31/03/2022,Gula Konsumsi,Sulawesi Tenggara,14941.0
31/03/2022,Gula Konsumsi,Sulawesi Utara,15244.0
01/04/2022,Gula Konsumsi,Gorontalo,14806.0
01/04/2022,Gula Konsumsi,Sulawesi Barat,14417.0
01/04/2022,Gula Konsumsi,Sulawesi Selatan,14417.0
01/04/2022,Gula Konsumsi,Sulawesi Tengah,15417.0
01/04/2022,Gula Konsumsi,Sulawesi Tenggara,15063.0
01/04/2022,Gula Konsumsi,Sulawesi Utara,15244.0
02/04/2022,Gula Konsumsi,Gorontalo,14806.0
02/04/2022,Gula Konsumsi,Sulawesi Barat,14417.0
02/04/2022,Gula Konsumsi,Sulawesi Selatan,14375.0
02/04/2022,Gula Konsumsi,Sulawesi Tengah,15545.0
02/04/2022,Gula Konsumsi,Sulawesi Tenggara,15176.0
02/04/2022,Gula Konsumsi,Sulawesi Utara,15378.0
03/04/2022,Gula Konsumsi,Gorontalo,14833.0
03/04/2022,Gula Konsumsi,Sulawesi Barat,14417.0
03/04/2022,Gula Konsumsi,Sulawesi Selatan,14521.0
03/04/2022,Gula Konsumsi,Sulawesi Tengah,15364.0
