Tanggal,Komoditas,Provinsi,Harga
25/03/2022,Minyak Goreng Kemasan,Gorontalo,23098.0
25/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,20400.0
25/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,22705.0
25/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,25042.0
25/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,26500.0
25/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,22633.0
26/03/2022,Minyak Goreng Kemasan,Gorontalo,23176.0
26/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,18400.0
26/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,22600.0
26/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,25042.0
26/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,27000.0
26/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,22067.0
27/03/2022,Minyak Goreng Kemasan,Gorontalo,23209.0
27/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,17200.0
27/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,22636.0
27/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,25708.0
27/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,26000.0
27/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,22071.0
28/03/2022,Minyak Goreng Kemasan,Gorontalo,23192.0
28/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,20500.0
28/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,23262.0
28/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,23955.0
28/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,26000.0
28/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,22267.0
29/03/2022,Minyak Goreng Kemasan,Gorontalo,23206.0
29/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,21167.0
29/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,23071.0
29/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,23773.0
29/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,26500.0
29/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,22400.0
30/03/2022,Minyak Goreng Kemasan,Gorontalo,23211.0
30/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,22000.0
30/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,22825.0
30/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,24864.0
30/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,25750.0
30/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,23456.0
31/03/2022,Minyak Goreng Kemasan,Gorontalo,24378.0
31/03/2022,Minyak Goreng Kemasan,Sulawesi Barat,22500.0
31/03/2022,Minyak Goreng Kemasan,Sulawesi Selatan,23310.0
31/03/2022,Minyak Goreng Kemasan,Sulawesi Tengah,24458.0
31/03/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,25750.0
31/03/2022,Minyak Goreng Kemasan,Sulawesi Utara,24733.0
01/04/2022,Minyak Goreng Kemasan,Gorontalo,24304.0
01/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23000.0
01/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,23087.0
01/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,24042.0
01/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,26500.0
01/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25067.0
02/04/2022,Minyak Goreng Kemasan,Gorontalo,24608.0
02/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23167.0
02/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,22826.0
02/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,24864.0
02/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,25667.0
02/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25067.0
03/04/2022,Minyak Goreng Kemasan,Gorontalo,24608.0
03/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23167.0
03/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,22870.0
03/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,24864.0
03/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,28000.0
03/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25071.0
04/04/2022,Minyak Goreng Kemasan,Gorontalo,25049.0
04/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,24000.0
04/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,23938.0
04/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,26508.0
04/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,31667.0
04/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25667.0
05/04/2022,Minyak Goreng Kemasan,Gorontalo,25049.0
05/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23000.0
05/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24870.0
05/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,27200.0
05/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34000.0
05/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25133.0
06/04/2022,Minyak Goreng Kemasan,Gorontalo,25049.0
06/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23167.0
06/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24809.0
06/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,27273.0
06/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35833.0
06/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25467.0
07/04/2022,Minyak Goreng Kemasan,Gorontalo,24914.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23167.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24504.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28008.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35600.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25667.0
08/04/2022,Minyak Goreng Kemasan,Gorontalo,24877.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23333.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24787.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28050.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,36024.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25667.0
09/04/2022,Minyak Goreng Kemasan,Gorontalo,25284.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23500.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24065.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,27300.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35262.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25733.0
10/04/2022,Minyak Goreng Kemasan,Gorontalo,24988.0
