Tanggal,Komoditas,Provinsi,Harga
25/03/2022,Telur Ayam Ras,Gorontalo,25318.0
25/03/2022,Telur Ayam Ras,Sulawesi Barat,19833.0
25/03/2022,Telur Ayam Ras,Sulawesi Selatan,21442.0
25/03/2022,Telur Ayam Ras,Sulawesi Tengah,26039.0
25/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24582.0
25/03/2022,Telur Ayam Ras,Sulawesi Utara,27484.0
26/03/2022,Telur Ayam Ras,Gorontalo,25318.0
26/03/2022,Telur Ayam Ras,Sulawesi Barat,19833.0
26/03/2022,Telur Ayam Ras,Sulawesi Selatan,21618.0
26/03/2022,Telur Ayam Ras,Sulawesi Tengah,26206.0
26/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24285.0
26/03/2022,Telur Ayam Ras,Sulawesi Utara,27624.0
27/03/2022,Telur Ayam Ras,Gorontalo,25258.0
27/03/2022,Telur Ayam Ras,Sulawesi Barat,19750.0
27/03/2022,Telur Ayam Ras,Sulawesi Selatan,21521.0
27/03/2022,Telur Ayam Ras,Sulawesi Tengah,26314.0
27/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24327.0
27/03/2022,Telur Ayam Ras,Sulawesi Utara,27967.0
28/03/2022,Telur Ayam Ras,Gorontalo,25264.0
28/03/2022,Telur Ayam Ras,Sulawesi Barat,20417.0
28/03/2022,Telur Ayam Ras,Sulawesi Selatan,21640.0
28/03/2022,Telur Ayam Ras,Sulawesi Tengah,26149.0
28/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24268.0
28/03/2022,Telur Ayam Ras,Sulawesi Utara,28169.0
29/03/2022,Telur Ayam Ras,Gorontalo,25156.0
29/03/2022,Telur Ayam Ras,Sulawesi Barat,22333.0
29/03/2022,Telur Ayam Ras,Sulawesi Selatan,21775.0
29/03/2022,Telur Ayam Ras,Sulawesi Tengah,26240.0
29/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24379.0
29/03/2022,Telur Ayam Ras,Sulawesi Utara,28669.0
30/03/2022,Telur Ayam Ras,Gorontalo,25156.0
30/03/2022,Telur Ayam Ras,Sulawesi Barat,20667.0
30/03/2022,Telur Ayam Ras,Sulawesi Selatan,21704.0
30/03/2022,Telur Ayam Ras,Sulawesi Tengah,26695.0
30/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24239.0
30/03/2022,Telur Ayam Ras,Sulawesi Utara,27202.0
31/03/2022,Telur Ayam Ras,Gorontalo,25281.0
31/03/2022,Telur Ayam Ras,Sulawesi Barat,20833.0
31/03/2022,Telur Ayam Ras,Sulawesi Selatan,21842.0
31/03/2022,Telur Ayam Ras,Sulawesi Tengah,25495.0
31/03/2022,Telur Ayam Ras,Sulawesi Tenggara,24596.0
31/03/2022,Telur Ayam Ras,Sulawesi Utara,27682.0
01/04/2022,Telur Ayam Ras,Gorontalo,25281.0
01/04/2022,Telur Ayam Ras,Sulawesi Barat,20783.0
01/04/2022,Telur Ayam Ras,Sulawesi Selatan,21956.0
01/04/2022,Telur Ayam Ras,Sulawesi Tengah,26262.0
01/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24790.0
01/04/2022,Telur Ayam Ras,Sulawesi Utara,27749.0
02/04/2022,Telur Ayam Ras,Gorontalo,25281.0
02/04/2022,Telur Ayam Ras,Sulawesi Barat,20783.0
02/04/2022,Telur Ayam Ras,Sulawesi Selatan,21973.0
02/04/2022,Telur Ayam Ras,Sulawesi Tengah,26831.0
02/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24396.0
02/04/2022,Telur Ayam Ras,Sulawesi Utara,27702.0
03/04/2022,Telur Ayam Ras,Gorontalo,25281.0
03/04/2022,Telur Ayam Ras,Sulawesi Barat,20950.0
03/04/2022,Telur Ayam Ras,Sulawesi Selatan,21865.0
03/04/2022,Telur Ayam Ras,Sulawesi Tengah,25848.0
03/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24455.0
03/04/2022,Telur Ayam Ras,Sulawesi Utara,27788.0
04/04/2022,Telur Ayam Ras,Gorontalo,25298.0
04/04/2022,Telur Ayam Ras,Sulawesi Barat,24740.0
04/04/2022,Telur Ayam Ras,Sulawesi Selatan,21840.0
04/04/2022,Telur Ayam Ras,Sulawesi Tengah,26503.0
04/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24518.0
04/04/2022,Telur Ayam Ras,Sulawesi Utara,27969.0
05/04/2022,Telur Ayam Ras,Gorontalo,26004.0
05/04/2022,Telur Ayam Ras,Sulawesi Barat,20617.0
05/04/2022,Telur Ayam Ras,Sulawesi Selatan,21777.0
05/04/2022,Telur Ayam Ras,Sulawesi Tengah,26253.0
05/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24459.0
05/04/2022,Telur Ayam Ras,Sulawesi Utara,28369.0
06/04/2022,Telur Ayam Ras,Gorontalo,26320.0
06/04/2022,Telur Ayam Ras,Sulawesi Barat,20450.0
06/04/2022,Telur Ayam Ras,Sulawesi Selatan,21765.0
06/04/2022,Telur Ayam Ras,Sulawesi Tengah,25458.0
06/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24463.0
06/04/2022,Telur Ayam Ras,Sulawesi Utara,28502.0
07/04/2022,Telur Ayam Ras,Gorontalo,26428.0
07/04/2022,Telur Ayam Ras,Sulawesi Barat,20433.0
07/04/2022,Telur Ayam Ras,Sulawesi Selatan,21835.0
07/04/2022,Telur Ayam Ras,Sulawesi Tengah,25603.0
07/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24660.0
07/04/2022,Telur Ayam Ras,Sulawesi Utara,29147.0
08/04/2022,Telur Ayam Ras,Gorontalo,26428.0
08/04/2022,Telur Ayam Ras,Sulawesi Barat,20433.0
08/04/2022,Telur Ayam Ras,Sulawesi Selatan,21731.0
08/04/2022,Telur Ayam Ras,Sulawesi Tengah,26044.0
08/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24459.0
08/04/2022,Telur Ayam Ras,Sulawesi Utara,28936.0
09/04/2022,Telur Ayam Ras,Gorontalo,26428.0
09/04/2022,Telur Ayam Ras,Sulawesi Barat,20433.0
09/04/2022,Telur Ayam Ras,Sulawesi Selatan,21773.0
09/04/2022,Telur Ayam Ras,Sulawesi Tengah,25672.0
09/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24430.0
09/04/2022,Telur Ayam Ras,Sulawesi Utara,29152.0
10/04/2022,Telur Ayam Ras,Gorontalo,26583.0
10/04/2022,Telur Ayam Ras,Sulawesi Barat,20483.0
10/04/2022,Telur Ayam Ras,Sulawesi Selatan,21773.0
10/04/2022,Telur Ayam Ras,Sulawesi Tengah,24864.0
10/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24583.0
10/04/2022,Telur Ayam Ras,Sulawesi Utara,29102.0
11/04/2022,Telur Ayam Ras,Gorontalo,26583.0
11/04/2022,Telur Ayam Ras,Sulawesi Barat,20267.0
11/04/2022,Telur Ayam Ras,Sulawesi Selatan,21560.0
11/04/2022,Telur Ayam Ras,Sulawesi Tengah,25756.0
11/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24553.0
11/04/2022,Telur Ayam Ras,Sulawesi Utara,29082.0
12/04/2022,Telur Ayam Ras,Gorontalo,26712.0
12/04/2022,Telur Ayam Ras,Sulawesi Barat,20283.0
12/04/2022,Telur Ayam Ras,Sulawesi Selatan,22019.0
12/04/2022,Telur Ayam Ras,Sulawesi Tengah,25839.0
12/04/2022,Telur Ayam Ras,Sulawesi Tenggara,24406.0
12/04/2022,Telur Ayam Ras,Sulawesi Utara,28836.0
13/04/2022,Telur Ayam Ras,Gorontalo,26712.0
