Tanggal,Komoditas,Provinsi,Harga
25/03/2022,Tepung Terigu (Curah),Gorontalo,9550.0
25/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8967.0
25/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8333.0
25/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10333.0
25/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10115.0
25/03/2022,Tepung Terigu (Curah),Sulawesi Utara,10833.0
26/03/2022,Tepung Terigu (Curah),Gorontalo,9550.0
26/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8800.0
26/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8364.0
26/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10333.0
26/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9875.0
26/03/2022,Tepung Terigu (Curah),Sulawesi Utara,10867.0
27/03/2022,Tepung Terigu (Curah),Gorontalo,9661.0
27/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8967.0
27/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8417.0
27/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10500.0
27/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10125.0
27/03/2022,Tepung Terigu (Curah),Sulawesi Utara,10857.0
28/03/2022,Tepung Terigu (Curah),Gorontalo,9717.0
28/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8967.0
28/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8396.0
28/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10364.0
28/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10125.0
28/03/2022,Tepung Terigu (Curah),Sulawesi Utara,10800.0
29/03/2022,Tepung Terigu (Curah),Gorontalo,9717.0
29/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8967.0
29/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8438.0
29/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10273.0
29/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9938.0
29/03/2022,Tepung Terigu (Curah),Sulawesi Utara,10867.0
30/03/2022,Tepung Terigu (Curah),Gorontalo,9717.0
30/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8967.0
30/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8587.0
30/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10636.0
30/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10000.0
30/03/2022,Tepung Terigu (Curah),Sulawesi Utara,10933.0
31/03/2022,Tepung Terigu (Curah),Gorontalo,9717.0
31/03/2022,Tepung Terigu (Curah),Sulawesi Barat,8967.0
31/03/2022,Tepung Terigu (Curah),Sulawesi Selatan,8604.0
31/03/2022,Tepung Terigu (Curah),Sulawesi Tengah,10500.0
31/03/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10000.0
31/03/2022,Tepung Terigu (Curah),Sulawesi Utara,11000.0
01/04/2022,Tepung Terigu (Curah),Gorontalo,9605.0
01/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9000.0
01/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8646.0
01/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10500.0
01/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9969.0
01/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11000.0
02/04/2022,Tepung Terigu (Curah),Gorontalo,9605.0
02/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
02/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8792.0
02/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10727.0
02/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9824.0
02/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11000.0
03/04/2022,Tepung Terigu (Curah),Gorontalo,9605.0
03/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
03/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8625.0
03/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10455.0
03/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9824.0
03/04/2022,Tepung Terigu (Curah),Sulawesi Utara,10857.0
